"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom(s) (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:membershipWithPosition","membership with position","relation d’appartenance dans le cadre du poste","membresía en puesto","Connects a Membership Relation to the Position occupied by the member Person(s).","","","relationHasContext","MembershipRelation","Position","positionIsContextOfMembershipRelation","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:migratedFrom","migrated from","a été produite par migration de","migrado desde","Inverse of 'migrated into' object property.","","RiC-R015i ('migrated from' relation)","isOrWasDerivedFromInstantiation","Instantiation","Instantiation","migratedInto","","thingIsTargetOfRelation/migrationRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-08-29 : Updated subpropertyOf; this in order to make the specification compliant with RiC-CM 1.0. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new migrationRelation_role object property."
"rico:migratedInto","migrated into","a été migrée vers","migrado a","Connects an Instantiation to a version it has been migrated into.","Use for digital instantiations.","RiC-R015 ('migrated into' relation)","hasOrHadDerivedInstantiation","Instantiation","Instantiation","migratedFrom","","thingIsSourceOfRelation/migrationRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-08-29 : Updated subpropertyOf; this in order to make the specification compliant with RiC-CM 1.0. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new migrationRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:migrationRelation_role","has the role of the Migration Relation","a le rôle de la Relation de migration","desempeña el papel de la Relación de migración entre instanciaciones","Connects a MigrationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the MigrationRelation class. It should be used only when you have to manage instances of the MigrationRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","derivationRelation_role","MigrationRelation","MigrationRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the MigrationRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:occupiesOrOccupied","occupies or occupied","occupe ou a occupé","ocupa u ocupaba","Connects a Person to a Position they occupy or occupied.","","RiC-R054 ('occupies or occupied' relation)","isAgentAssociatedWithAgent","Person","Position","isOrWasOccupiedBy","","thingIsSourceOfRelation/positionHoldingRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new positionHoldingRelation_role object property."
"rico:occurredAtDate","occurred at date","a pour date d'occurrence","tiene como fecha de ocurrencia","Inverse of 'is date of occurrence of' object property.","","RiC-R084i ('occurred at date' relation)","isAssociatedWithDate; isEventAssociatedWith","Event","Date","isDateOfOccurrenceOf","","","2023-10-13 : Renamed the property to correct a spelling mistake. Also corrected the annotations when necessary. | 2023-10-17 : Made this property a subproperty of isEventAssociatedWith | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:organicOrFunctionalProvenanceRelation_role","has the role of the Organic or functional provenance Relation","a le rôle de la Relation de provenance organique ou fonctionnelle","desempeña el papel de la Relación de procedencia orgánica or funcional","Connects an OrganicOrFunctionalProvenanceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the OrganicOrFunctionalProvenanceRelation class. It should be used only when you have to manage instances of the OrganicOrFunctionalProvenanceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","relation_role","OrganicOrFunctionalProvenanceRelation","OrganicOrFunctionalProvenanceRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the OrganicOrFunctionalProvenanceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:organicProvenanceRelation_role","has the role of the Organic Provenance Relation","a le rôle de la Relation de provenance organique","desempeña el papel de la Relación de procedencia orgánica","Connects an OrganicProvenanceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the OrganicProvenanceRelation class. It should be used only when you have to manage instances of the OrganicProvenanceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","organicOrFunctionalProvenanceRelation_role","OrganicProvenanceRelation","OrganicProvenanceRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the OrganicProvenanceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:overlapsOrOverlapped","overlaps or overlapped","chevauche ou a chevauché","se superpone o superponía con","Connects two Places that geographically overlap or overlapped. This relation is symmetric.","","RiC-R078 ('overlaps or overlapped' relation)","isAssociatedWithPlace; isPlaceAssociatedWith","Place","Place","","SymmetricProperty","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:ownershipRelation_role","has the role of the Ownership Relation","a le rôle de la Relation de propriété","desempeña el papel de la Relación de posesión","Connects an OwnershipRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the OwnershipRelation class. It should be used only when you have to manage instances of the OwnershipRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","authorityRelation_role","OwnershipRelation","OwnershipRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the OwnershipRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:performanceRelation_role","has the role of the Performance Relation","a le rôle de la Relation entre activités et agents","desempeña el papel de la Relación de desarrollo funcional","Connects a PerformanceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the PerformanceRelation class. It should be used only when you have to manage instances of the PerformanceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","eventRelation_role","PerformanceRelation","PerformanceRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the PerformanceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:performsOrPerformed","performs or performed","exerce ou a exercé","desarrolla o desarrollaba","Inverse of 'is or was performed by' object property.","","RiC-R060i ('performs or performed' relation)","isOrWasParticipantIn","Agent","Activity","isOrWasPerformedBy","","thingIsTargetOfRelation/performanceRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new performanceRelation_role object property."
"rico:placeRelation_role","has the role of the Place Relation","a le rôle de la Relation impliquant un lieu","desempeña el papel de la Relación con lugar","Connects a PlaceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the PlaceRelation class. It should be used only when you have to manage instances of the PlaceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","relation_role","PlaceRelation","PlaceRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the PlaceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:positionHoldingRelation_role","has the role of the Position Holding Relation","a le rôle de la Relation entre une personne et un poste","desempeña el papel de la Relación de ocupación entre una persona y un puesto","Connects a PositionHoldingRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the PositionHoldingRelation class. It should be used only when you have to manage instances of the PositionHoldingRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","agentToAgentRelation_role","PositionHoldingRelation","PositionHoldingRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the PositionHoldingRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:positionIsContextOfLeadershipRelation","position is context of leadership relation","poste est le contexte de la relation de direction","puesto es contexto de relación de liderazgo","Connects a Position to a Leadership Relation (the leading Person occupies that Position).","","","thingIsContextOfRelation","Position","LeadershipRelation","leadershipWithPosition","","","2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Updated the labels."
"rico:positionIsContextOfMembershipRelation","position is context of membership relation","poste est le contexte de la relation d'appartenance","puesto es contexto de relación de membresía","Connects a Position to a Membership Relation (the member Person occupies that Position).","","","thingIsContextOfRelation","Position","MembershipRelation","membershipWithPosition","","","2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Updated the labels."
"rico:positionToGroupRelation_role","has the role of the Position to Group Relation","a le rôle de la Relation entre un poste et un groupe","desempeña el papel de la Relación de ocupación entre un grupo y un puesto","Connects a PositionToGroupRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the PositionToGroupRelation class. It should be used only when you have to manage instances of the PositionToGroupRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","agentToAgentRelation_role","PositionToGroupRelation","PositionToGroupRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the PositionToGroupRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:precededInSequence","preceded in sequence","a précédé dans la séquence","precedía secuencialmente a","Connects a Thing to a Thing that followed it in some sequence (not necessarily defined or characterised chronologically) in the past.","","","precedesOrPreceded","Thing","Thing","followedInSequence","","","2023-09-08 : Object property added, along with its inverse property, in order to enable to express past sequential relations between things (the current sequential relations being also added, including a transitive one). | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from precedesInTime. | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2025-03-04 : Tweaked the rdfs:comment to try to clarify what is meant."
"rico:precedesInSequenceTransitive","precedes in sequence transitive","précède dans la séquence transitif","precede secuencialmente a transitivo","Connects a Thing to a Thing that follows it directly or indirectly in some sequence (not necessarily defined or characterised chronologically). This is a transitive relation.","","","precedesOrPreceded","Thing","Thing","followsInSequenceTransitive","TransitiveProperty","precedesProxyInSequence/proxyFor","2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct or indirect, sequential relations between things (the past sequential relation also being added). | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from precedesInTime. | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2025-03-04 : Tweaked the rdfs:comment to try to clarify what is meant. Also added a property chain axiom relating it to use of rico:Proxy."
"rico:precedesInTime","precedes in time","précède dans le temps","precede en el tiempo a","Connects a Thing to a Thing that follows it in chronological order. This is a transitive relation.","There may actually be zero to many intermediate Entities, ignored or unknown, in the chronological sequence between the two connected Entities.","RiC-R009 ('precedes in time' relation)","precedesOrPreceded","Thing","Thing","followsInTime","TransitiveProperty","thingIsSourceOfRelation/temporalRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-09-21 : Property made transitive. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new temporalRelation_role object property."
"rico:precedesOrPreceded","precedes or preceded","précède ou a précédé","precede o precedía secuencialmente a","Connects a Thing to a Thing that follows or followed it in some sequence.","The relation does not specify by itself what criteria are used for ordering the sequence. There may actually be zero to many intermediate Entities, ignored or unkown, in the sequence between the two connected Things. Can be used, for example, for specifying that some Record 'precedes' (has next) some Record within a Record Set.","RiC-R008 ('precedes or preceded' relation)","isRelatedTo","Thing","Thing","followsOrFollowed","","thingIsSourceOfRelation/sequentialRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new sequentialRelation_role object property."
"rico:precedesProxyInSequence","precedes proxy in sequence","précède le proxy dans la séquence","precede el proxy en la secuencia","Connects a Record Resource to a Proxy of a Record Resource that it precedes directly or indirectly in some sequence (not necessarily defined or characterised chronologically).","","","precedesInSequenceTransitive","RecordResource","Proxy","proxyFollowsInSequence","","precedesProxyInSequence/proxyPrecedesProxyInSequenceTransitive","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyDirectlyFollowsInSequence","proxy directly follows in sequence","proxy suit directement dans la séquence","proxy sigue directamente en la secuencia","Inverse of 'directly precedes proxy in sequence' object property.","","","directlyFollowsInSequence; proxyFollowsInSequence","Proxy","RecordResource","directlyPrecedesProxyInSequence","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyDirectlyFollowsProxyInSequence","proxy directly follows proxy in sequence","proxy suit directement le proxy dans la séquence","proxy sigue directamente el proxy en la secuencia","Inverse of 'proxy directly precedes proxy in sequence' object property.","","","directlyFollowsInSequence; proxyFollowsProxyInSequenceTransitive","Proxy","Proxy","proxyDirectlyPrecedesProxyInSequence","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyDirectlyIncludes","proxy directly includes","proxy inclut directement","proxy incluye directamente","Inverse of 'is directly included in proxy' object property.","","","hasDirectPart; proxyIncludes","Proxy","Record ; RecordSet","isDirectlyIncludedInProxy","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyDirectlyIncludesProxy","proxy directly includes proxy","proxy inclut directement le proxy","proxy incluye directamente el proxy","Inverse of 'proxy is directly included in' object property.","","","hasDirectPart; proxyIncludesProxyTransitive","Proxy","Proxy","proxyIsDirectlyIncludedInProxy","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyDirectlyPrecedesInSequence","proxy directly precedes in sequence","proxy précède directement dans la séquence","proxy precede directamente en la secuencia","Connects a Proxy of a Record Resource to a Record Resource which it precedes directly in some sequence (not necessarily defined or characterised chronologically).","","","directlyPrecedesInSequence; proxyPrecedesInSequence","Proxy","RecordResource","directlyFollowsProxyInSequence","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyDirectlyPrecedesProxyInSequence","proxy directly precedes proxy in sequence","proxy précède directement le proxy dans la séquence","proxy precede directamente el proxy en la secuencia","Connects a Proxy of a Record Resource to a Proxy of another Record Resource that it precedes directly in some sequence (not necessarily defined or characterised chronologically).","","","directlyPrecedesInSequence; proxyPrecedesProxyInSequenceTransitive","Proxy","Proxy","proxyDirectlyFollowsProxyInSequence","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-01 : Added a second owl:subPropertyOf with target 'proxyPrecedesProxyInSequenceTransitive'. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyFollowsInSequence","proxy follows in sequence","proxy suit dans la séquence","proxy sigue en la secuencia","Inverse of 'precedes proxy in sequence' object property.","","","followsInSequenceTransitive","Proxy","RecordResource","precedesProxyInSequence","","proxyFollowsProxyInSequenceTransitive/proxyFollowsInSequence","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyFollowsProxyInSequenceTransitive","proxy follows proxy in sequence transitive","proxy suit le proxy dans la séquence transitif","proxy sigue el proxy en la secuencia transitivo","Inverse of 'proxy recedes proxy in sequence transitive' object property.","","","followsInSequenceTransitive","Proxy","Proxy","proxyPrecedesProxyInSequenceTransitive","TransitiveProperty","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyFor","proxy for","proxy pour","es proxy para","Connects a Proxy to the Record Resource it stands for in the context of a specific Record Resource.","","","isRelatedTo","Proxy","RecordResource","hasProxy","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2025-03-04 : Changed the rdfs:comment to allow for a context of a Record Resource of any kind, not only a Record Set."
"rico:proxyHasConstituent","proxy has constituent","proxy a pour constituant","proxy tiene como elemento constitutivo","Inverse of 'is constituent of proxy' object property.","","","hasPartTransitive","Proxy","Record ; RecordPart","isConstituentOfProxy","","proxyHasConstituentProxyTransitive/proxyHasConstituent","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyHasConstituentProxyTransitive","proxy has constituent proxy transitive","proxy a pour constituant le proxy (transitif)","proxy tiene como elemento constitutivo el proxy (transitivo)","Inverse of 'proxy is constituent of proxy transitive' object property. This is a transitive relation.","","","hasPartTransitive","Proxy","Proxy","proxyIsConstituentOfProxyTransitive","TransitiveProperty","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyHasDirectConstituent","proxy has direct constituent","proxy a pour constituant direct","proxy tiene como directo elemento constitutivo","Inverse of 'is direct constituent of proxy' object property.","","","hasDirectPart; proxyHasConstituent","Proxy","Record ; RecordPart","isDirectConstituentOfProxy","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyHasDirectConstituentProxy","proxy has direct constituent proxy","proxy a pour constituant direct le proxy","proxy tiene como directo elemento constitutivo el proxy","Inverse of 'proxy is direct constituent of' object property.","","","hasDirectPart; proxyHasConstituentProxyTransitive","Proxy","Proxy","proxyIsDirectConstituentOfProxy","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyIn","proxy in","proxy dans","es proxy en","Connects a Proxy to the Record Resource in which it stands for (represents) another Record Resource.","","","isRelatedTo","Proxy","RecordResource","","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2025-03-04 : Changed the range and rdfs:comment to allow any Record Resource, not only a Record Set."
"rico:proxyInRecord","proxy in record","proxy dans l’objet informationnel","proxy en el documento","Connects a Proxy to a Record in which it stands for (represents) a Record Part or another Record.","","","proxyIn","Proxy","Record","","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyInRecordSet","proxy in record set","proxy dans l’ensemble d’objets informationnels","proxy en la agrupación documental","Connects a Proxy to a Record Set in which it stands for (represents) a Record or another Record Set.","","","proxyIn","Proxy","RecordSet","","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyIncludes","proxy includes","proxy inclut","proxy incluye","Inverse of 'is included in proxy' object property.","","","hasPartTransitive","Proxy","Record ; RecordSet","isIncludedInProxy","","proxyIncludesProxyTransitive/proxyIncludes","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyIncludesProxyTransitive","proxy includes proxy transitive","proxy inclut le proxy (transitif)","proxy incluye el proxy (transitivo)","Inverse of 'proxy is included in proxy transitive' object property. This is a transitive relation.","","","hasPartTransitive","Proxy","Proxy","proxyIsIncludedInProxyTransitive","TransitiveProperty","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyIsConstituentOf","proxy is constituent of","proxy est un constituant de","proxy es un elemento constitutivo de","Connects a Proxy of a Record or Record Part to a Record or Record Part which it is a constituent of, directly or indirectly.","","","isPartOfTransitive","Proxy","Record ; RecordPart","hasConstituentProxy","","proxyIsConstituentOfProxyTransitive/proxyIsConstituentOf","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyIsConstituentOfProxyTransitive","proxy is constituent of proxy transitive","proxy est un constituant du proxy (transitif)","proxy es elemento constitutivo del proxy (transitivo)","Connects a Proxy of a Record or Record Part to a Proxy of another Record or Record Part which it is a constituent of, directly or indirectly. This is a transitive relation.","","","isPartOfTransitive","Proxy","Proxy","proxyHasConstituentProxyTransitive","TransitiveProperty","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyIsDirectConstituentOf","proxy is direct constituent of","proxy est un constituant direct de","proxy es elemento constitutivo directo de","Connects a Proxy of a Record or Record Part to another Record or Record Part which the first is a direct constituent of.","","","isDirectPartOf; proxyIsConstituentOf","Proxy","Record ; RecordPart","hasDirectConstituentProxy","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Fixed the owl:inverseOf property (was hasConstituentProxy). Added the French and Spanish labels."
"rico:proxyIsDirectConstituentOfProxy","proxy is direct constituent of proxy","proxy est un constituant direct du proxy","proxy es elemento constitutivo directo del proxy","Connects a Proxy of a Record or Record Part to a Proxy of another Record or Record Part of which the first is a direct constituent.","","","isDirectPartOf; proxyIsConstituentOfProxyTransitive","Proxy","Proxy","proxyHasDirectConstituentProxy","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyIsDirectlyIncludedIn","proxy is directly included in","proxy est directement inclus dans","proxy está directamente incluido en","Connects a Proxy of a Record or Record Set to another Record Set which the first is directly included in.","","","isDirectPartOf; proxyIsIncludedIn","Proxy","RecordSet","directlyIncludesProxy","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyIsDirectlyIncludedInProxy","proxy is directly included in proxy","proxy est directement inclus dans le proxy","proxy está directamente incluido en el proxy","Connects a Proxy of a Record or Record Set to a Proxy of a Record Set which it is directly included in.","","","isDirectPartOf; proxyIsIncludedInProxyTransitive","Proxy","Proxy","proxyDirectlyIncludesProxy","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyIsIncludedIn","proxy is included in","proxy est inclus dans","proxy está incluido en","Connects a Proxy of a Record or Record Set to a Record Set which it is included in, directly or indirectly.","","","isPartOfTransitive","Proxy","RecordSet","includesProxy","","proxyIsIncludedInProxyTransitive/proxyIsIncludedIn","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyIsIncludedInProxyTransitive","proxy is included in proxy transitive","proxy est inclus dans le proxy (transitif)","proxy está incluido en el proxy (transitivo)","Connects a Proxy of a Record or Record Set to a Proxy of a Record Set which it is included in, directly or indirectly. This is a transitive relation.","","","isPartOfTransitive","Proxy","Proxy","proxyIncludesProxyTransitive","TransitiveProperty","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyPrecedesInSequence","proxy precedes in sequence","proxy précède dans la séquence","proxy precede en la secuencia","Connects a Proxy of a Record Resource to a Record Resource which the first precedes directly or indirectly in some sequence (not necessarily defined or characterised chronologically).","","","precedesInSequenceTransitive","Proxy","RecordResource","followsProxyInSequence","","proxyPrecedesProxyInSequenceTransitive/proxyPrecedesInSequence","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:proxyPrecedesProxyInSequenceTransitive","proxy precedes proxy in sequence transitive","proxy précède le proxy dans la séquence (transitif)","proxy precede el proxy en la secuencia (transitivo)","Connects a Proxy of a Record Resource to a Proxy of another Record Resource which directly or indirectly follows the first in some sequence (not necessarily defined or characterised chronologically). This is a transitive relation.","","","precedesInSequenceTransitive","Proxy","Proxy","proxyFollowsProxyInSequenceTransitive","TransitiveProperty","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
"rico:recordResourceGeneticRelation_role","has the role of the Record Resource Genetic Relation","a le rôle de la Relation génétique entre des ressources archivistiques","desempeña el papel de la Relación genética entre recursos documentales","Connects a RecordResourceGeneticRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the RecordResourceGeneticRelation class. It should be used only when you have to manage instances of the RecordResourceGeneticRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","recordResourceToRecordResourceRelation_role","RecordResourceGeneticRelation","RecordResourceGeneticRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the RecordResourceGeneticRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:recordResourceHasSourceOfInformation","Record Resource has source of information","est une ressource archivistique qui a pour source d’information","recurso documental tiene como fuente de información","Connects a Record Resource to a Record Resource, when the second one is used as a source of information for producing the content of the first one.","Can be used, for example, to connect a Record that has documentary form type Authority Record or Finding Aid, and a Record Resource used as a source of information for it. Not to be confused with the 'hasGeneticLinkToRecordResource' object property.","","isRecordResourceAssociatedWithRecordResource","RecordResource","RecordResource","isSourceOfInformationOfRecordResource","","","2025-01-17 : Object property added in RiC-O 1.1, with its inverse one. It replaces, as concerns Record Resources, the former 'hasSource' object property, that was available in RiC-0 0.1 and RiC-O 0.2, and was removed in RiC-O 1.0."
"rico:recordResourceHoldingRelation_role","has the role of the Record Resource Holding Relation","a le rôle de la Relation entre agents et ressources archivistiques ou instanciations conservées","desempeña el papel de la Relación entre agentes y recursos documentales que conservan","Connects a RecordResourceHoldingRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the RecordResourceHoldingRelation class. It should be used only when you have to manage instances of the RecordResourceHoldingRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","managementRelation_role","RecordResourceHoldingRelation","RecordResourceHoldingRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the RecordResourceHoldingRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2023-12-30 : Fixed a typo in the French label. | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:recordResourceToInstantiationRelation_role","has the role of the Record Resource to Instantiation Relation","a le rôle de la Relation d’instanciation","desempeña el papel de la Relación de recurso documental a instanciación","Connects a RecordResourceToInstantiationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the RecordResourceToInstantiationRelation class. It should be used only when you have to manage instances of the RecordResourceToInstantiationRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","relation_role","RecordResourceToInstantiationRelation","RecordResourceToInstantiationRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the RecordResourceToInstantiationRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
