"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom(s) (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:documents","documents","documente","documenta","Connects a Record Resource or an Instantiation to the Activity that generates the Record Resource or Instantiation.","To be used to describe the functional provenance of a Record Resource or Instantiation.","RiC-R033 ('documents' relation)","hasOrganicOrFunctionalProvenance; resultsOrResultedFrom","Instantiation ; RecordResource","Activity","documentedBy","","thingIsSourceOfRelation/activityDocumentationRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-07 : Made this property a subproperty of the new hasOrganicOrFunctionalProvenance property. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new activityDocumentationRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the skos:scopeNote."
"rico:eventRelation_role","has the role of the Event Relation","a le rôle de la Relation impliquant un événement","desempeña el papel de la Relación con un evento","Connects an EventRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the EventRelation class. It should be used only when you have to manage instances of the EventRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","relation_role","EventRelation","EventRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the EventRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:evidences","evidences","atteste de","evidencia","Connects a Record Resource to a Relation, when the first is used for proving the existence of the second one, or for describing it.","","Inverse of 'is evidenced by' object property.","thingIsConnectedToRelation","RecordResource","Relation","isEvidencedBy","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-12-27 : Renamed the object property (was 'is source of') and reduced its domain to Record Resource (the domain was the union of Record Resource and Agent) and its range to Relation (the range was the union of Record Resource and Relation). Consequently updated the superproperty, the labels, and added a rico:RiCCMCorrespondingComponent. Same for the inverse object property."
"rico:existsOrExistedIn","exists or existed in","existe ou a existé dans","existe o existía en","Connects a Position to a Group in which that Position exists or existed, or that is defined by that Group's organizational structure.","","RiC-R056 ('exists or existed in' relation)","isAgentAssociatedWithAgent","Position","Group","hasOrHadPosition","","thingIsSourceOfRelation/positionToGroupRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new positionToGroupRelation_role object property. | 2024-03-15 : Corrected unparseable symbol in rdfs:comment"
"rico:expressesOrExpressed","expresses or expressed","exprime ou a exprimé","expresa o expresaba","Inverse of 'is or was expressed by' object property.","","RiC-R064i ('expresses or expressed' relation)","isAssociatedWithRule","RecordResource","Rule","isOrWasExpressedBy","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:familyRelation_role","has the role of the Family Relation","a le rôle de la Relation familiale","desempeña el papel de la Relación familiar","Connects a FamilyRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the FamilyRelation class. It should be used only when you have to manage instances of the FamilyRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","agentToAgentRelation_role","FamilyRelation","FamilyRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the FamilyRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-03-15 : Corrected unparseable symbol in rdfs:comment | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:followedInSequence","followed in sequence","a suivi dans la séquence","seguía en la secuencia transitivo","Connects a Thing to a Thing that it followed in some sequence (not necessarily defined or characterised chronologically) in the past.","","","followsOrFollowed","Thing","Thing","precededInSequence","","","2023-09-08 : Added transitive super-property and both present direct and past sequential relations as well as their respective inverse relations. | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from followsInTime. | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2025-03-04 : Tweaked the rdfs:comment to try to clarify what is meant."
"rico:followsInSequenceTransitive","follows in sequence transitive","suit dans la séquence transitif","sigue en la secuencia transitivo","Inverse of 'precedes in sequence transitive' object property.","","","followsOrFollowed","Thing","Thing","precedesInSequenceTransitive","TransitiveProperty","hasProxy/proxyFollowsInSequence","2023-09-08 : Added transitive super-property and both present direct and past sequential relations as well as their respective inverse relations. | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from followsInTime. | 2023-11-12 : Updated the description (rdfs:comment) and labels. | 2023-11-27 : Added a new rdfs:label in Spanish. | 2025-03-04 : Tweaked the rdfs:comment to simply refer to its inverse property. Also added a property chain axiom relating it to use of rico:Proxy."
"rico:followsInTime","follows in time","suit dans le temps","sigue en el tiempo a","Inverse of 'precedes in time' object property. This is a transitive relation.","","RiC-R009i ('follows in time' relation)","followsOrFollowed","Thing","Thing","precedesInTime","TransitiveProperty","thingIsTargetOfRelation/temporalRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-09-22 : Property made transitive. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new temporalRelation_role object property."
"rico:followsOrFollowed","follows or followed","suit ou a suivi","sigue o seguía a","Inverse of 'precedes or preceded' object property.","","RiC-R008i ('follows or followed' relation)","isRelatedTo","Thing","Thing","precedesOrPreceded","","thingIsTargetOfRelation/sequentialRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new sequentialRelation_role object property."
"rico:followsProxyInSequence","follows proxy in sequence","suit le proxy dans la séquence","sigue el proxy en la secuencia","Inverse of 'proxy precedes in sequence' object property.","","","followsInSequenceTransitive","RecordResource","Proxy","proxyPrecedesInSequence","","","2025-03-04 : Introduced in RiC-O 1.1. | 2025-04-02 : Added the French and Spanish labels."
